,total_no,year,huc,total_no_filled
202,218421454.0,2018,20700041006,218421454.0
203,182159310.0,2019,20700041006,182159310.0
204,0.0,2005,20700100803,138388100.5
205,0.0,2008,20700100803,138388100.5
206,165800794.0,2010,20700100803,165800794.0
207,217526676.0,2011,20700100803,217526676.0
208,205254688.0,2012,20700100803,205254688.0
209,203438560.0,2013,20700100803,203438560.0
210,204253050.0,2014,20700100803,204253050.0
211,186306994.0,2015,20700100803,186306994.0
212,171572018.0,2016,20700100803,171572018.0
213,107466214.0,2017,20700100803,107466214.0
214,112837710.0,2018,20700100803,112837710.0
215,86200502.0,2019,20700100803,86200502.0
216,0.0,2005,20801090302,511777762.1666667
217,0.0,2008,20801090302,511777762.1666667
218,849664824.0,2010,20801090302,849664824.0
219,841700604.0,2011,20801090302,841700604.0
220,761780546.0,2012,20801090302,761780546.0
221,769352164.0,2013,20801090302,769352164.0
222,761808054.0,2014,20801090302,761808054.0
223,601126546.0,2015,20801090302,601126546.0
224,523938886.0,2016,20801090302,523938886.0
225,380243684.0,2017,20801090302,380243684.0
226,364991914.0,2018,20801090302,364991914.0
227,286725924.0,2019,20801090302,286725924.0
228,0.0,2005,20700090704,181701209.66666666
229,0.0,2008,20700090704,181701209.66666666
230,359661298.0,2010,20700090704,359661298.0
231,308025698.0,2011,20700090704,308025698.0
232,240517328.0,2012,20700090704,240517328.0
233,266094538.0,2013,20700090704,266094538.0
234,277344228.0,2014,20700090704,277344228.0
235,221805502.0,2015,20700090704,221805502.0
236,153148506.0,2016,20700090704,153148506.0
237,126405528.0,2017,20700090704,126405528.0
238,125750130.0,2018,20700090704,125750130.0
239,101661760.0,2019,20700090704,101661760.0
240,0.0,2005,20503051007,87177231.0
241,0.0,2008,20503051007,87177231.0
242,121534120.0,2010,20503051007,121534120.0
243,117292438.0,2011,20503051007,117292438.0
244,100875818.0,2012,20503051007,100875818.0
245,138715346.0,2013,20503051007,138715346.0
246,173187264.0,2014,20503051007,173187264.0
247,139052580.0,2015,20503051007,139052580.0
248,101422530.0,2016,20503051007,101422530.0
249,62119902.0,2017,20503051007,62119902.0
250,52535422.0,2018,20503051007,52535422.0
251,39391352.0,2019,20503051007,39391352.0
252,0.0,2005,20700080103,49984789.833333336
253,0.0,2008,20700080103,49984789.833333336
254,91311966.0,2010,20700080103,91311966.0
255,82648632.0,2011,20700080103,82648632.0
256,69036318.0,2012,20700080103,69036318.0
257,73435718.0,2013,20700080103,73435718.0
258,62441732.0,2014,20700080103,62441732.0
259,54591794.0,2015,20700080103,54591794.0
260,56463106.0,2016,20700080103,56463106.0
261,49757662.0,2017,20700080103,49757662.0
262,32104222.0,2018,20700080103,32104222.0
263,28026328.0,2019,20700080103,28026328.0
264,0.0,2005,20700080803,309877834.0
265,0.0,2008,20700080803,309877834.0
266,504272116.0,2010,20700080803,504272116.0
267,481913224.0,2011,20700080803,481913224.0
268,487008510.0,2012,20700080803,487008510.0
269,471495580.0,2013,20700080803,471495580.0
270,441932354.0,2014,20700080803,441932354.0
271,359683918.0,2015,20700080803,359683918.0
272,304594494.0,2016,20700080803,304594494.0
273,234542154.0,2017,20700080803,234542154.0
274,233467662.0,2018,20700080803,233467662.0
275,199623996.0,2019,20700080803,199623996.0
276,0.0,2005,20501030704,397820969.1666667
277,0.0,2008,20501030704,397820969.1666667
278,719673554.0,2010,20501030704,719673554.0
279,718334372.0,2011,20501030704,718334372.0
280,588013268.0,2012,20501030704,588013268.0
281,559343276.0,2013,20501030704,559343276.0
282,550184102.0,2014,20501030704,550184102.0
283,442959108.0,2015,20501030704,442959108.0
284,387121150.0,2016,20501030704,387121150.0
285,285300322.0,2017,20501030704,285300322.0
286,290391726.0,2018,20501030704,290391726.0
287,232530752.0,2019,20501030704,232530752.0
288,0.0,2005,20600060402,297682948.1666667
289,0.0,2008,20600060402,297682948.1666667
290,612942128.0,2010,20600060402,612942128.0
291,531770806.0,2011,20600060402,531770806.0
292,408733172.0,2012,20600060402,408733172.0
293,415969642.0,2013,20600060402,415969642.0
294,406187786.0,2014,20600060402,406187786.0
295,323014660.0,2015,20600060402,323014660.0
296,267672844.0,2016,20600060402,267672844.0
297,219430198.0,2017,20600060402,219430198.0
298,212719846.0,2018,20600060402,212719846.0
299,173754296.0,2019,20600060402,173754296.0
300,0.0,2005,20801100102,45881508.166666664
301,0.0,2008,20801100102,45881508.166666664
302,62613248.0,2010,20801100102,62613248.0
303,62307360.0,2011,20801100102,62307360.0
304,57117560.0,2012,20801100102,57117560.0
305,60633106.0,2013,20801100102,60633106.0
306,63774332.0,2014,20801100102,63774332.0
307,61314772.0,2015,20801100102,61314772.0
308,51442328.0,2016,20801100102,51442328.0
309,42920412.0,2017,20801100102,42920412.0
310,43310862.0,2018,20801100102,43310862.0
311,45144118.0,2019,20801100102,45144118.0
312,0.0,2005,20503041204,72870734.83333333
313,0.0,2008,20503041204,72870734.83333333
314,103646562.0,2010,20503041204,103646562.0
315,99513056.0,2011,20503041204,99513056.0
316,98424056.0,2012,20503041204,98424056.0
317,105905872.0,2013,20503041204,105905872.0
318,99611928.0,2014,20503041204,99611928.0
319,96473310.0,2015,20503041204,96473310.0
320,100356914.0,2016,20503041204,100356914.0
321,66299460.0,2017,20503041204,66299460.0
322,60796112.0,2018,20503041204,60796112.0
323,43421548.0,2019,20503041204,43421548.0
324,0.0,2005,20503051010,305962649.0
325,0.0,2008,20503051010,305962649.0
326,587544320.0,2010,20503051010,587544320.0
327,568884362.0,2011,20503051010,568884362.0
328,416204008.0,2012,20503051010,416204008.0
329,426694540.0,2013,20503051010,426694540.0
330,439826156.0,2014,20503051010,439826156.0
331,338552362.0,2015,20503051010,338552362.0
332,299563492.0,2016,20503051010,299563492.0
333,213202082.0,2017,20503051010,213202082.0
334,203530286.0,2018,20503051010,203530286.0
335,177550180.0,2019,20503051010,177550180.0
336,0.0,2005,20700100102,209894697.5
337,0.0,2008,20700100102,209894697.5
338,468715552.0,2010,20700100102,468715552.0
339,393582542.0,2011,20700100102,393582542.0
340,287034484.0,2012,20700100102,287034484.0
341,291296288.0,2013,20700100102,291296288.0
342,282487504.0,2014,20700100102,282487504.0
343,220958538.0,2015,20700100102,220958538.0
344,169079368.0,2016,20700100102,169079368.0
345,145576584.0,2017,20700100102,145576584.0
346,147641362.0,2018,20700100102,147641362.0
347,112364148.0,2019,20700100102,112364148.0
348,0.0,2005,20503061202,105891558.66666667
349,0.0,2008,20503061202,105891558.66666667
350,198144534.0,2010,20503061202,198144534.0
351,175124780.0,2011,20503061202,175124780.0
352,157152438.0,2012,20503061202,157152438.0
353,145758116.0,2013,20503061202,145758116.0
354,122956774.0,2014,20503061202,122956774.0
