,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__n_estimators,param_randomforestregressor__min_samples_split,param_randomforestregressor__min_samples_leaf,param_randomforestregressor__max_samples,param_randomforestregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,7.935681772232056,0.6754813352652602,1.3164010524749756,0.2149358969697948,250,8,4,800,400,"{'randomforestregressor__n_estimators': 250, 'randomforestregressor__min_samples_split': 8, 'randomforestregressor__min_samples_leaf': 4, 'randomforestregressor__max_samples': 800, 'randomforestregressor__max_depth': 400}",0.631977054515725,0.7066820508360544,0.6478925583610124,0.7149595699439499,0.7448626163095701,0.6892747699932624,0.04253997336965144,5
13,8.069290399551392,0.6432823670872166,1.1609010696411133,0.1105970019621423,250,10,3,300,250,"{'randomforestregressor__n_estimators': 250, 'randomforestregressor__min_samples_split': 10, 'randomforestregressor__min_samples_leaf': 3, 'randomforestregressor__max_samples': 300, 'randomforestregressor__max_depth': 250}",0.5578683346892458,0.5476456902082578,0.5056175061307115,0.5786400163629017,0.6051330869255622,0.5589809268633358,0.03314779570958182,20
14,9.290963554382325,0.379400078491243,1.3813612461090088,0.22175129780980574,750,4,3,150,800,"{'randomforestregressor__n_estimators': 750, 'randomforestregressor__min_samples_split': 4, 'randomforestregressor__min_samples_leaf': 3, 'randomforestregressor__max_samples': 150, 'randomforestregressor__max_depth': 800}",0.4827370537238517,0.4308234538861988,0.3910651835833834,0.4742344816603815,0.4783588183074655,0.4514437982322561,0.03547922519982441,27
15,10.551018810272216,1.2703787659243997,1.8464453220367432,0.21394563575366493,900,9,7,550,700,"{'randomforestregressor__n_estimators': 900, 'randomforestregressor__min_samples_split': 9, 'randomforestregressor__min_samples_leaf': 7, 'randomforestregressor__max_samples': 550, 'randomforestregressor__max_depth': 700}",0.5694326261082348,0.5500573758197558,0.5106106357137011,0.5913194208890977,0.6020524827112468,0.5646945082484072,0.032453859259041616,19
16,8.190273714065551,1.3173647233705992,1.4325820446014403,0.27341829245872223,200,8,2,900,850,"{'randomforestregressor__n_estimators': 200, 'randomforestregressor__min_samples_split': 8, 'randomforestregressor__min_samples_leaf': 2, 'randomforestregressor__max_samples': 900, 'randomforestregressor__max_depth': 850}",0.6562803601195666,0.727658076608193,0.6825968361095024,0.7284781020151474,0.7783779306976869,0.7146782611100193,0.042085845114731894,3
17,10.823703289031982,0.49785535973908335,1.7916638374328613,0.17923374006743814,800,9,4,300,500,"{'randomforestregressor__n_estimators': 800, 'randomforestregressor__min_samples_split': 9, 'randomforestregressor__min_samples_leaf': 4, 'randomforestregressor__max_samples': 300, 'randomforestregressor__max_depth': 500}",0.5507180481284157,0.5240847951854146,0.4769582056310544,0.5546424222054444,0.566074258012915,0.5344955458326488,0.03189109755964464,23
18,9.121587467193603,0.8940735823927023,1.4796390533447266,0.2983498871043977,450,3,6,650,950,"{'randomforestregressor__n_estimators': 450, 'randomforestregressor__min_samples_split': 3, 'randomforestregressor__min_samples_leaf': 6, 'randomforestregressor__max_samples': 650, 'randomforestregressor__max_depth': 950}",0.5837991528097053,0.6048809483503355,0.5580017525163481,0.6388176972331583,0.6531752878883703,0.6077349677595836,0.03488673136728984,11
19,10.318260669708252,0.6081934566970224,1.2680347919464112,0.23021224896970074,700,3,9,400,350,"{'randomforestregressor__n_estimators': 700, 'randomforestregressor__min_samples_split': 3, 'randomforestregressor__min_samples_leaf': 9, 'randomforestregressor__max_samples': 400, 'randomforestregressor__max_depth': 350}",0.511250535456336,0.45324160864515084,0.41303849627965417,0.4935678913916457,0.4986359299798734,0.47394689235053206,0.036123774599692286,24
20,6.413709449768066,0.5175979929790934,1.2205706119537354,0.1308643675193955,300,8,4,200,800,"{'randomforestregressor__n_estimators': 300, 'randomforestregressor__min_samples_split': 8, 'randomforestregressor__min_samples_leaf': 4, 'randomforestregressor__max_samples': 200, 'randomforestregressor__max_depth': 800}",0.5008167314611862,0.4488759258698899,0.41278597511281456,0.4920928571553257,0.4972136198899556,0.4703570218978344,0.03434350072785147,25
21,8.523850154876708,0.5552233511005656,1.4007269382476806,0.258705471277537,650,8,4,350,450,"{'randomforestregressor__n_estimators': 650, 'randomforestregressor__min_samples_split': 8, 'randomforestregressor__min_samples_leaf': 4, 'randomforestregressor__max_samples': 350, 'randomforestregressor__max_depth': 450}",0.5674815565206974,0.5590443354857353,0.5085286437337528,0.5885777955115745,0.6007300897786721,0.5648724842060864,0.031821730300253655,18
22,11.311653852462769,1.4154846050996972,1.791655969619751,0.33102676389949853,800,2,5,800,550,"{'randomforestregressor__n_estimators': 800, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__min_samples_leaf': 5, 'randomforestregressor__max_samples': 800, 'randomforestregressor__max_depth': 550}",0.5949996357292646,0.6675871140743838,0.610251337593232,0.6836161348993064,0.7043007896435389,0.6521510023879451,0.042355139096977794,7
23,8.563251876831055,1.5611539557266108,1.6735586643218994,0.46552493966902364,300,9,1,350,700,"{'randomforestregressor__n_estimators': 300, 'randomforestregressor__min_samples_split': 9, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__max_samples': 350, 'randomforestregressor__max_depth': 700}",0.5524506405071247,0.609026135259113,0.5469523308524833,0.6206375491200944,0.6678936010156373,0.5993920513508906,0.045144367074172125,12
24,10.561266660690308,0.740887655699672,1.981592559814453,0.2889124718966392,550,6,1,700,450,"{'randomforestregressor__n_estimators': 550, 'randomforestregressor__min_samples_split': 6, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__max_samples': 700, 'randomforestregressor__max_depth': 450}",0.6749034486089992,0.7225356954171602,0.6583024415798078,0.7219111965576012,0.7766724806761697,0.7108650525679476,0.041581014487296064,4
25,7.736552333831787,0.9696285320492283,1.727931547164917,0.04965816383796124,200,2,8,950,750,"{'randomforestregressor__n_estimators': 200, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__min_samples_leaf': 8, 'randomforestregressor__max_samples': 950, 'randomforestregressor__max_depth': 750}",0.5743351358612853,0.6261101949628093,0.5744506007738297,0.659848823521322,0.6718517106929087,0.6213192931624311,0.04114653821338618,9
26,9.792789506912232,0.642334234749351,1.1347711086273193,0.21307431369987043,550,9,6,50,600,"{'randomforestregressor__n_estimators': 550, 'randomforestregressor__min_samples_split': 9, 'randomforestregressor__min_samples_leaf': 6, 'randomforestregressor__max_samples': 50, 'randomforestregressor__max_depth': 600}",0.2765892911628842,0.22707426865535807,0.20224498143290248,0.24919950075928154,0.24244216829113763,0.23951004206031276,0.024579206219351356,29
27,8.087579154968262,0.4889837937188011,0.9111825942993164,0.12380547014146163,450,3,4,300,500,"{'randomforestregressor__n_estimators': 450, 'randomforestregressor__min_samples_split': 3, 'randomforestregressor__min_samples_leaf': 4, 'randomforestregressor__max_samples': 300, 'randomforestregressor__max_depth': 500}",0.5541645634485042,0.5227049494675944,0.4740518781069848,0.5578941130425652,0.5746244660616944,0.5366879940254685,0.03553340520012689,22
28,5.070322275161743,0.5166988883484825,0.0,0.0,500,1,2,950,700,"{'randomforestregressor__n_estimators': 500, 'randomforestregressor__min_samples_split': 1, 'randomforestregressor__min_samples_leaf': 2, 'randomforestregressor__max_samples': 950, 'randomforestregressor__max_depth': 700}",,,,,,,,30
29,6.6368550777435305,0.3729894982699267,0.7004762172698975,0.3081760386626688,600,7,1,800,300,"{'randomforestregressor__n_estimators': 600, 'randomforestregressor__min_samples_split': 7, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__max_samples': 800, 'randomforestregressor__max_depth': 300}",0.6787765824985887,0.7334025389368257,0.6659860518666822,0.7224881193002373,0.7830441494374353,0.7167394884079539,0.041771056079850495,2
