,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__n_estimators,param_randomforestregressor__max_samples,param_randomforestregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,4.349362421035766,0.1772270136236535,0.5072422981262207,0.13241467421472575,450,700,650,"{'randomforestregressor__n_estimators': 450, 'randomforestregressor__max_samples': 700, 'randomforestregressor__max_depth': 650}",0.7870713027220708,0.715478504775687,0.7696769374777247,0.7465667840498851,0.8281203099327237,0.7693827677916183,0.037919146472361234,11
18,0.06183481216430664,0.04176493926650402,0.0,0.0,0,950,200,"{'randomforestregressor__n_estimators': 0, 'randomforestregressor__max_samples': 950, 'randomforestregressor__max_depth': 200}",,,,,,,,26
19,4.517947387695313,0.42947114445544454,0.2539189338684082,0.020658971088385176,550,500,550,"{'randomforestregressor__n_estimators': 550, 'randomforestregressor__max_samples': 500, 'randomforestregressor__max_depth': 550}",0.7544246520930838,0.6862840118548258,0.7306573278654815,0.7098448335086318,0.7947107713417196,0.7351843193327485,0.03732937759597789,18
20,0.11110262870788574,0.0813291223353066,0.0,0.0,0,0,550,"{'randomforestregressor__n_estimators': 0, 'randomforestregressor__max_samples': 0, 'randomforestregressor__max_depth': 550}",,,,,,,,30
21,1.2522637367248535,0.29189358348585437,0.33611316680908204,0.17150633130890283,100,900,850,"{'randomforestregressor__n_estimators': 100, 'randomforestregressor__max_samples': 900, 'randomforestregressor__max_depth': 850}",0.8216735056499969,0.7445645741807319,0.7993093446083389,0.7883312516244947,0.8490804546131255,0.8005918261353375,0.03489012384788466,2
22,3.2413594722747803,0.17286774744498107,0.31127219200134276,0.18019695566341856,450,650,200,"{'randomforestregressor__n_estimators': 450, 'randomforestregressor__max_samples': 650, 'randomforestregressor__max_depth': 200}",0.7772643006637576,0.7170279930318406,0.7648758882519405,0.7330238846113535,0.8182944448842532,0.762097302288629,0.03541859248445915,13
23,0.8150304317474365,0.19787049296328196,0.1827108383178711,0.06030120610438173,100,250,200,"{'randomforestregressor__n_estimators': 100, 'randomforestregressor__max_samples': 250, 'randomforestregressor__max_depth': 200}",0.6486343166665277,0.6010234495557105,0.6562456867796611,0.6363528909452492,0.7049196817595267,0.6494352051413349,0.03358689104903003,22
24,4.34669861793518,0.09719263994330446,0.5166177749633789,0.08485172266243039,900,200,850,"{'randomforestregressor__n_estimators': 900, 'randomforestregressor__max_samples': 200, 'randomforestregressor__max_depth': 850}",0.6298666325255984,0.5651182591814723,0.6235377420520177,0.5980052226666426,0.6825958816155093,0.619824747608248,0.03879106234600083,24
25,5.988308715820312,1.0263174806173172,0.7158979892730712,0.3029251943253029,900,650,250,"{'randomforestregressor__n_estimators': 900, 'randomforestregressor__max_samples': 650, 'randomforestregressor__max_depth': 250}",0.7823325829765168,0.7172863672049511,0.765573641846686,0.7327325866729688,0.8194805754812566,0.7634811508364759,0.0362632673811546,12
26,7.820817136764527,0.4537963567108617,1.6072996139526368,0.2315076520220866,850,800,900,"{'randomforestregressor__n_estimators': 850, 'randomforestregressor__max_samples': 800, 'randomforestregressor__max_depth': 900}",0.800261110153828,0.737864191798195,0.781953526501371,0.7571650720232314,0.8371338838951814,0.7828755568743613,0.03445032850711371,7
27,10.215196895599366,0.192095024190481,0.7909857749938964,0.3914318481389561,1000,700,50,"{'randomforestregressor__n_estimators': 1000, 'randomforestregressor__max_samples': 700, 'randomforestregressor__max_depth': 50}",0.7873797452023309,0.7222699442296693,0.7695453310351372,0.7424143371445114,0.8270090914328374,0.7697236898088973,0.03630714545532379,9
28,10.428537511825562,0.7688439907574022,0.7030398845672607,0.5308951678684245,1000,800,50,"{'randomforestregressor__n_estimators': 1000, 'randomforestregressor__max_samples': 800, 'randomforestregressor__max_depth': 50}",0.8015971519557735,0.7381926632782291,0.781806021840547,0.7566412013234701,0.8360491073755533,0.7828572291547146,0.03424578576190372,8
29,4.596710729598999,0.8670854888326832,0.8154228687286377,0.3295704169519091,400,500,50,"{'randomforestregressor__n_estimators': 400, 'randomforestregressor__max_samples': 500, 'randomforestregressor__max_depth': 50}",0.7517675481756119,0.6886453017284246,0.733187435450402,0.713453659040818,0.7942624894623644,0.7362632867715242,0.035781285925990294,17
