,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
23,-0.016960964,0.34753358,-0.010133424,0.32569543,-0.0049991417,-0.05474135,3.2924454,2.6601202,-0.107237965,-1.3681709,-1.2624257,-0.5136821,-0.8366553,-1.0764306,0.36126348,-0.7613716,-0.19598562,0.21458612,-0.7137736,1.2607555,-0.68640924,4.3735833,20.289156,-0.13915989
24,-0.025203684,0.3544269,-0.0112737045,0.32529062,-0.02182613,-0.054130454,3.1474485,2.63146,-0.016536167,-1.6384337,-1.1785616,-0.51239395,-0.83925897,-1.0785165,0.3087654,-0.7261841,-0.097214215,-1.6266786,-0.77219015,1.2122245,-0.923542,4.574176,18.88327,-0.010004226
25,-0.025228962,0.38521567,-0.0151303,-0.035538718,0.007484806,-0.02015946,2.0369248,1.2541609,0.018642291,-0.9685803,0.31133035,-1.2488257,-0.55757487,-1.2187754,0.030447604,-1.1230537,0.036181398,0.2403707,-0.71920645,0.9773736,-0.64442736,-1.8980341,14.445667,-0.43835977
26,0.0074138907,0.35047153,-0.0135622,-0.077048115,0.00790071,-0.024784517,1.9119864,1.0040017,0.009819452,-0.9535813,0.20209132,-1.2518493,-0.35142142,-1.3429456,0.141522,-1.0238938,0.25657338,-2.1005049,-0.7321483,0.591898,-0.84109133,-2.6145482,12.001136,0.3337154
27,-0.025800098,0.35875735,-0.011416137,0.3262262,-0.02198794,-0.052215327,3.1474657,2.6314383,-0.016223999,-1.6359184,-1.1786902,-0.5121096,-0.83879817,-1.0811448,0.31237593,-0.71004546,-0.099579,-1.627088,-0.7749999,1.2135017,-0.9238709,4.571165,18.875904,-0.014396796
28,-0.009068622,0.36627388,-0.017518656,-0.12177606,0.0024960889,-0.017407686,1.8608496,1.136238,-0.0015978116,-0.88764256,0.20137583,-1.2482432,-0.5509505,-1.2955431,0.29746333,-1.0521222,-0.01957585,-1.8323641,-0.79002017,0.80648226,-0.9226791,-2.181729,12.287302,0.11695131
29,-0.030042047,0.34401867,-0.012235192,0.38018727,-0.013946989,-0.02205521,3.243624,2.6417882,-0.015275013,-1.6674304,-1.1748278,-0.4711033,-0.8413885,-0.8721516,0.050466426,-0.8051791,-0.12350839,0.21439292,-0.7433344,1.2956182,-0.4603816,4.487621,20.235735,-0.17922737
30,-0.006791208,0.37660578,-0.016353285,-0.12174424,0.003274262,-0.017899908,2.792849,1.7548281,0.03547922,-1.2589064,0.19921704,-0.84828526,-0.55751085,-1.3030491,0.29989383,-0.80417174,-0.012991647,-1.8434192,-0.78846467,0.81269544,-0.9037653,1.7269802,16.109932,0.48071143
31,-0.027958473,0.3411283,-0.011315648,0.32477462,-0.021296818,-0.07015957,3.1438227,2.6314833,-0.026833342,-1.5853286,-1.1796666,-0.5142569,-0.8388256,-1.0801854,0.3085872,-0.71033525,-0.09974118,-1.6306119,-0.7723799,1.2143484,-0.9190637,4.576327,18.874443,-0.014413332
32,-0.026126506,0.35498655,-0.012832593,0.366615,-0.01761055,-0.018498382,3.152135,2.6654787,-0.012499552,-1.6211537,-1.1775055,-0.51458114,-0.83532405,-1.1459526,0.2832637,-0.76940113,-0.051073894,-1.6254628,-0.77151674,1.2240576,-0.9078756,4.9193616,19.15309,0.0020797744
33,-0.012256564,0.38162556,-0.015787547,-0.106292464,0.0059360694,-0.015991122,1.8835382,1.6062514,0.0052393023,-0.9031306,0.23082234,-1.238724,-0.5154056,-1.0970491,-0.0824859,-1.0487037,0.008136446,-1.8597721,-0.7830703,1.1476109,-0.90493655,-1.0884732,13.350874,-0.3378538
34,-0.030714596,0.34023312,-0.011451744,0.36933944,-0.019756999,-0.066006094,3.149703,2.632414,-0.023887154,-1.6167358,-1.1778678,-0.51514983,-0.83817333,-1.0803218,0.32049215,-0.68366414,-0.087132744,-1.6452879,-0.7740152,1.0193461,-0.9184951,4.593555,19.039442,-0.04947416
35,-0.019104283,0.3605623,-0.015781287,-0.031858135,0.004037565,-0.019113893,1.8859811,1.240009,0.00019477663,-0.8849549,0.19466707,-1.2490528,-0.54897237,-1.1998036,-0.03181862,-1.0748774,0.04988405,-1.8589102,-0.78040296,0.8963761,-0.9117152,-1.9036872,12.546395,-0.32002404
36,-0.021681895,0.34755054,-0.010387391,0.32488057,-0.005369467,-0.06537985,3.296181,2.659295,-0.10494545,-1.4841396,-1.2226031,-0.51451313,-0.8371011,-1.0740063,0.3576648,-0.76219064,-0.1955988,0.21524675,-0.713934,1.2563126,-0.68517625,4.385026,20.333506,-0.13749923
37,-0.02381261,0.3957189,-0.016299145,-0.1232741,0.0072528627,-0.021204876,2.9431517,1.7747669,0.03930357,-1.3090774,0.18313587,-0.8508707,-0.5593624,-1.3129715,0.35137668,-0.8551047,-0.062315505,0.23947814,-0.7277975,0.8932331,-0.6420392,1.7415599,17.865917,0.3491645
38,-0.024322558,0.39716902,-0.016417779,-0.11097318,0.008784971,-0.019655794,2.0353503,1.5622708,0.009776705,-0.9465213,0.18779431,-1.2415789,-0.55833286,-1.1266158,-0.0015850818,-1.0902523,-0.015109269,0.23917651,-0.7213105,1.1958772,-0.6387849,-0.94019055,15.283034,-0.42065156
39,-0.010049277,0.3960311,-0.016544726,-0.11063936,0.006003561,-0.018217888,1.8825862,1.6069345,0.005407204,-0.8977448,0.23327152,-1.2398734,-0.51526505,-1.097795,-0.083886534,-1.0490941,0.008844436,-1.8600839,-0.7852806,1.1571658,-0.90516305,-1.0901996,13.339516,-0.33920932
40,-0.031098343,0.40133914,-0.012799712,0.37359244,-0.02104459,-0.06422328,4.7584233,2.6408644,-0.020663777,-1.616659,-1.1775922,-0.31568602,-1.0814883,-1.0688554,0.1649821,-0.67939645,-0.15401594,-1.4199823,4.6369324,1.2003133,-0.47097334,4.2412157,24.210785,0.38104478
41,-0.037539493,0.3442778,-0.010147882,0.3685443,-0.013074107,-0.06057298,3.3025303,2.6537862,-0.014182031,-1.7197369,-1.1856785,-0.5126039,-0.8410241,-1.0808326,0.3593969,-0.76730293,-0.19534913,0.2217147,-0.71273273,1.2952925,-0.6610758,4.358939,20.340532,-0.14253053
42,-0.012921702,0.36254847,-0.009513758,0.32635853,-0.012750329,-0.0524378,3.147484,2.6507974,-0.1019636,-1.4240959,-1.2171458,-0.3090861,-1.0783472,-1.0669085,0.14651915,-0.71255153,-0.112826034,-1.6234653,-1.2931436,1.2047265,-0.9303732,4.587006,18.23296,-0.003130092
43,-0.030220997,0.33578348,-0.012172714,0.3771815,-0.019348457,-0.059408408,3.155254,2.5509574,-0.022569604,-1.6029407,-1.1733876,-0.47133514,-0.8309561,-0.8498591,0.061820418,-0.7088054,-0.049233247,-1.5742432,-0.80496097,1.1906137,-0.72924656,4.2909546,18.43327,-0.06691556
